Country,Data availability for UHC index of service coverage (ranking),Data availability for UHC index of service coverage,UHC index of service coverage (SCI),UHC index of service coverage (SCI)_2015,"UHC SCI components: Reproductive, maternal, newborn and child health","UHC SCI components: Reproductive, maternal, newborn and child health",UHC SCI components:  Infectious diseases,UHC SCI components:  Infectious diseases,UHC SCI components: Noncommunicable diseases,UHC SCI components: Noncommunicable diseases,UHC SCI components: Service capacity and access,UHC SCI components: Service capacity and access
Lithuania,medium,41,73,70,86,84,67,58,54,53,92,94
Luxembourg,high,49,83,82,94,94,78,76,68,67,96,96
Madagascar,low,34,28,24,55,54,11,7,64,63,15,14
Malawi,medium,43,46,43,72,71,47,38,69,69,19,18
Malaysia,medium,43,73,71,76,76,68,60,62,62,89,89
Maldives,low,29,62,59,55,54,60,52,67,67,67,65
Mali,medium,41,38,35,50,37,42,40,64,64,15,15
Malta,low,29,82,81,93,93,79,77,66,65,92,92
Mauritania,medium,36,41,36,47,45,44,29,66,65,21,20
Mauritius,medium,41,63,62,69,69,53,53,52,52,80,79
Mexico,high,54,76,76,83,84,71,68,72,71,80,80
Micronesia (Federated States of),low,21,47,44,67,67,67,58,13,13,77,70
Mongolia,high,46,62,62,82,82,37,37,56,55,89,88
Montenegro,medium,39,68,67,71,70,64,63,57,56,82,82
Morocco,medium,41,70,69,73,73,73,68,67,66,70,69
Mozambique,low,34,46,43,57,56,47,38,66,65,25,25
Myanmar,high,50,61,59,71,69,62,57,65,64,48,49
Namibia,medium,36,62,61,73,74,58,55,63,63,54,53
Nepal,high,49,48,51,74,69,58,53,62,61,20,29
Netherlands,high,47,86,85,94,94,85,84,69,68,98,98
New Zealand,high,51,87,85,91,91,81,78,76,75,99,99
Nicaragua,medium,39,73,71,82,82,62,58,77,77,73,69
Niger,medium,43,37,35,54,53,35,31,65,65,15,14
Nigeria,high,49,42,42,40,38,37,35,78,78,27,30
Norway,high,53,87,86,95,94,85,83,71,69,100,99
Oman,high,56,69,71,63,62,55,63,72,72,91,93
Pakistan,high,50,45,42,63,61,31,26,54,54,38,36
Panama,medium,44,79,76,83,80,65,60,80,80,89,85
Papua New Guinea,low,26,40,41,56,59,33,34,46,46,29,32
Paraguay,high,46,69,68,85,85,58,52,72,71,63,71
Peru,high,70,77,77,75,76,69,63,83,82,81,89
Philippines,high,49,61,57,69,65,53,45,64,63,58,59
Poland,medium,41,75,74,87,87,70,68,58,57,90,90
Portugal,high,50,82,81,92,93,81,77,61,61,97,98
Qatar,low,29,68,69,82,82,64,61,61,61,68,72
Republic of Korea,high,47,86,85,89,89,84,82,72,71,99,100
Republic of Moldova,medium,41,69,68,81,80,55,49,57,57,89,92
North Macedonia,medium,37,72,70,70,68,70,66,57,57,97,96
Romania,high,49,74,73,75,76,75,73,58,56,91,92
Russian Federation,medium,41,75,71,86,83,66,58,56,55,100,93
Rwanda,high,46,57,54,63,62,71,66,71,71,33,28
Saint Lucia,low,17,68,66,81,84,65,61,67,67,59,55
Saint Vincent and the Grenadines,low,17,71,67,91,89,65,61,74,74,59,50
Samoa,low,30,58,58,63,64,70,65,51,50,51,52
Sao Tome and Principe,low,29,55,53,74,74,46,42,74,74,35,35
Saudi Arabia,medium,36,74,73,73,72,66,61,63,63,100,99
Senegal,high,56,45,44,62,57,58,51,70,69,17,18
Serbia,high,51,65,65,75,74,75,75,42,41,76,77
Seychelles,low,27,71,71,67,66,65,68,62,62,95,94
Sierra Leone,medium,43,39,36,69,66,36,31,62,61,15,14
Singapore,medium,44,86,85,90,90,77,76,78,78,100,100
Slovakia,high,46,77,75,89,89,76,70,52,52,98,99
Slovenia,medium,40,79,79,92,93,77,78,59,59,92,91
Solomon Islands,low,31,47,46,67,68,49,44,39,39,39,39
Somalia,low,34,25,22,15,14,29,22,64,64,15,11
South Africa,high,46,69,69,79,81,62,58,58,58,80,81
